CNPJ;RAZÃO SOCIAL;NOME FANTASIA;MATRIZ/FILIAL;SITUAÇÃO CADASTRAL;DATA INICIO ATIVIDADE;DATA INICIO ATIVIDADE (BR);DESCRIÇÃO MOTIVO;DATA SITUAÇÃO CADASTRAL;DATA SITUAÇÃO CADASTRAL (BR);CNAE PRINCIPAL;CNAE SECUNDÁRIO;NATUREZA JURÍDICA;CAPITAL SOCIAL;PORTE;OPTANTE SIMPLES;OPTANTE MEI;LOGRADOURO;NÚMERO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DDD 1;TELEFONE 1;DDD 2;TELEFONE 2;EMAIL
54.972.900/0001-20;MERCADO DA PRAIA COMERCIO VAREJISTA DE ALIMENTOS LTDA;MERCADO DA PRAIA;1;ATIVA;02/05/2024;02/05/2024;NULL;02/05/2024;02/05/2024;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;60000.00;MICRO EMPRESA;S;N;PROF ABELARDO SOUZA C07096;148;;BARRA DA LAGOA;88061110;SC;FLORIANOPOLIS;48;91599395;;;MERCADOBOMPRECO110@GMAIL.COM
52.303.936/0001-95;CAMILA GARCIA FURTADO;CR LAVACAR E CONVENIENCIA;1;ATIVA;25/09/2023;25/09/2023;NULL;25/09/2023;25/09/2023;Serviços de lavagem lubrificação e polimento de veículos automotores;NULL;Empresário (Individual);50000.00;MICRO EMPRESA;S;N;RANULPHO JOSE DE SOUZA SOBRINHO;31;;CANASVIEIRAS;88054430;SC;FLORIANOPOLIS;11;70963992;;;CAMILAGARCIAF@HOTMAIL.COM
50.584.656/0001-77;TATIANI & LUIZ LTDA;MERCADO DA ILHA;1;ATIVA;08/05/2023;08/05/2023;NULL;08/05/2023;08/05/2023;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;50000.00;MICRO EMPRESA;S;N;CANDIDO PEREIRA DOS ANJOS;3020;SALA  01;SAO JOAO DO RIO VERMELHO;88060300;SC;FLORIANOPOLIS;48;92078743;0;0;TATYKAUAN27@GMAIL.COM
53.190.512/0001-24;TATIANI & LUIZ II LTDA;MERCADO DA ILHA;1;ATIVA;13/12/2023;13/12/2023;NULL;13/12/2023;13/12/2023;Padaria e confeitaria com predominância de revenda;NULL;Sociedade Empresária Limitada;50000.00;MICRO EMPRESA;S;N;JOAO GUALBERTO SOARES;7421;SALA  02;SAO JOAO DO RIO VERMELHO;88060000;SC;FLORIANOPOLIS;48;92078743;;;TATYKAUAN27@GMAIL.COM
54.649.817/0001-14;B&S MINI MERCADO E PADARIA LTDA;B&S MERCADO E PADARIA;1;ATIVA;09/04/2024;09/04/2024;NULL;09/04/2024;09/04/2024;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;30000.00;EMPRESA DE PEQUENO PORTE;NULL;NULL;LAURO LINHARES X64063;688;SALA  3A;TRINDADE;88036001;SC;FLORIANOPOLIS;47;33460050;0;0;CONTATO@SOTECCONTABIL.COM.BR
47.922.849/0002-67;MEVI MERCADO LTDA;MEVI MERCADO;2;ATIVA;09/07/2024;09/07/2024;NULL;14/08/2024;14/08/2024;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;150000.00;MICRO EMPRESA;S;N;EST CRISTOVAO MACHADO DE CAMPOS;3421;LETRA A;SAO JOAO DO RIO VERMELHO;88052600;SC;FLORIANOPOLIS;48;96250101;;;RYAN_MARTINI@OUTLOOK.COM
03.345.996/0001-65;FAMILIA ROVERE LTDA;MERCADO ROVERE;1;ATIVA;17/08/1999;17/08/1999;NULL;17/08/1999;17/08/1999;Fabricação de produtos de padaria e confeitaria com predominância de produção própria;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;Sociedade Empresária Limitada;90000.00;MICRO EMPRESA;S;N;JOSE CORREIA;490;;TAPERA;88049400;SC;FLORIANOPOLIS;48;33371466;48;91227532;
03.395.833/0001-97;LEILA APARECIDA DE OLIVEIRA PINHEIRO & CIA LTDA;MINIMERCADO ILHABELA;1;ATIVA;01/09/1999;01/09/1999;NULL;05/07/2003;05/07/2003;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;NULL;Sociedade Empresária Limitada;0.00;MICRO EMPRESA;S;N;ISID DUTRA;96;;SAMBAQUI;88051010;SC;FLORIANOPOLIS;48;32351670;;;MERC.ILHABELLA@HOTMAIL.COM
53.063.775/0001-72;KIOSKO CONVENIENCIAS 24H LTDA;KIOSKO CONVENIENCIAS 24H;1;ATIVA;30/11/2023;30/11/2023;NULL;30/11/2023;30/11/2023;Comércio varejista de mercadorias em lojas de conveniência;NULL;Sociedade Empresária Limitada;25000.00;EMPRESA DE PEQUENO PORTE;S;N;LUIZ BOITEUX PIAZZA;3657;TERREO;CACHOEIRA DO BOM JESUS;88056000;SC;FLORIANOPOLIS;48;98574659;;;PAMEDAFFU@GMAIL.COM
04.031.026/0011-20;HIPER SELECT SUPERMERCADOS LTDA.;HIPER SELECT SUPERMERCADOS;2;ATIVA;17/04/2023;17/04/2023;NULL;17/04/2023;17/04/2023;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - supermercados;NULL;Sociedade Empresária Limitada;6000000.00;DEMAIS;NULL;NULL;CAMPECHE;2865;;CAMPECHE;88063300;SC;FLORIANOPOLIS;48;32346570;;;CPD09@HIPERSELECT.COM.BR
05.539.046/0001-05;MARIA DA PIEDADE SOBERANSKI;MERCADO ITACORUBI;1;ATIVA;20/02/2003;20/02/2003;NULL;20/02/2003;20/02/2003;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;Bares e outros estabelecimentos especializados em servir bebidas sem entretenimento;Empresário (Individual);0.00;EMPRESA DE PEQUENO PORTE;S;N;ANTONIO JOAQUIM DE FREITAS;39;;ITACORUBI;88034200;SC;FLORIANOPOLIS;48;33340502;48;84147275;MARIASOBERANSKI@HOTMAIL.COM
73.983.199/0001-99;MERCADO TROPICAL SUL LTDA;MERCADO TROPICAL SUL;1;ATIVA;03/01/1994;03/01/1994;NULL;06/10/2001;06/10/2001;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;70000.00;EMPRESA DE PEQUENO PORTE;S;N;ANTONIO DOMINGOS DE SOUZA;140;;CARIANOS;88047585;SC;FLORIANOPOLIS;48;32261019;;;LEO.TROP@HOTMAIL.COM
82.956.160/0016-50;MUNDIALMIX COMERCIO DE ALIMENTOS LTDA;SUPERMERCADO IMPERATRIZ;2;ATIVA;06/10/1989;06/10/1989;NULL;31/12/2004;31/12/2004;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - supermercados;NULL;Sociedade Empresária Limitada;2616000.00;DEMAIS;NULL;NULL;MAX DE SOUZA;740;;COQUEIROS;88080000;SC;FLORIANOPOLIS;;;;;
83.646.984/0014-24;A. ANGELONI & CIA. LTDA;SUPERMERCADOS ANGELONI;2;ATIVA;31/08/1983;31/08/1983;NULL;03/11/2005;03/11/2005;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - supermercados;NULL;Sociedade Empresária Limitada;61924500.00;DEMAIS;NULL;NULL;ESTEVES JUNIOR;307;LOJA;CENTRO;88015130;SC;FLORIANOPOLIS;48;32166250;;;ADM.EDI@ANGELONI.COM.BR
78.654.019/0001-49;MERCADO COSTA LTDA;MINI MERCADO COSTA;1;ATIVA;08/02/1985;08/02/1985;NULL;03/11/2005;03/11/2005;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;30000.00;EMPRESA DE PEQUENO PORTE;N;N;LUIZ BOITEUX PIAZZA;5528;SALA;CACHOEIRA BOM JESUS;88056000;SC;FLORIANOPOLIS;;;;;
83.813.188/0001-14;MINIMERCADO DEGA LTDA;MINIMERCADO DEGA;1;ATIVA;26/06/1979;26/06/1979;NULL;03/11/2005;03/11/2005;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;20000.00;EMPRESA DE PEQUENO PORTE;S;N;JOSE OLIMPIO DA SILVA;200;;TAPERA;88049500;SC;FLORIANOPOLIS;48;36587109;;;SOCIETARIO@R4SOLUCOESCONTABEIS.COM.BR
02.510.141/0001-80;AMB SOLUCOES EMPRESARIAIS LTDA;AMB-ASSESSORIA DE MERCADO BRASIL;1;ATIVA;08/05/1998;08/05/1998;NULL;27/08/2005;27/08/2005;Atividades de consultoria em gestão empresarial exceto consultoria técnica específica;NULL;Sociedade Empresária Limitada;34000.00;DEMAIS;S;N;RIO BRANCO;404;TORRE IISALA  1203;CENTRO;88015200;SC;FLORIANOPOLIS;53;84029091;;;PAVAO@AMBCONSULTORIA.COM.BR
00.883.635/0001-84;DINASA COMERCIAL LTDA;MERCADO ENGENHO NOVO;1;ATIVA;30/10/1995;30/10/1995;NULL;30/04/2005;30/04/2005;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;29000.00;EMPRESA DE PEQUENO PORTE;N;N;JOAO PACHECO DA COSTA;384;;LAGOA DA CONCEICAO;88062100;SC;FLORIANOPOLIS;48;36587109;;;SOCIETARIO@R4SOLUCOESCONTABEIS.COM.BR
03.319.975/0001-75;KI-SOMBRA MINIMERCADO LTDA;KI-SOMBRA MINIMERCADO;1;ATIVA;03/08/1999;03/08/1999;NULL;NULL;NULL;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;0.00;MICRO EMPRESA;S;N;SC 406;6.977;;ARM. PANTANO DO SUL;88066000;SC;FLORIANOPOLIS;;;;;
83.646.984/0035-59;A. ANGELONI & CIA. LTDA;SUPERMERCADOS ANGELONI;2;ATIVA;19/10/2000;19/10/2000;NULL;03/11/2005;03/11/2005;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - supermercados;NULL;Sociedade Empresária Limitada;61924500.00;DEMAIS;NULL;NULL;NIBERTO HAASE;75;;SANTA MONICA;88035215;SC;FLORIANOPOLIS;48;32156200;;;ADM.EDI@ANGELONI.COM.BR
04.554.177/0001-90;STURMER & CARVALHO LTDA;MERCADO SILVIA;1;ATIVA;12/07/2001;12/07/2001;NULL;02/04/2004;02/04/2004;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;170000.00;MICRO EMPRESA;S;N;PEDRO MANOEL MOREIRA;293;PAVMTOSUPERIOR;RIBEIRAO DA ILHA;88064041;SC;FLORIANOPOLIS;48;33388067;;;
00.778.705/0001-34;CAMPOS & GARCIA LTDA;MERCADO CACHOEIRA;1;ATIVA;29/08/1995;29/08/1995;NULL;30/04/2005;30/04/2005;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;0.00;EMPRESA DE PEQUENO PORTE;N;N;LUIZ BOITEUX PIAZZA;S/N;;CACH BOM JESUS;88056000;SC;FLORIANOPOLIS;;;;;
83.646.984/0016-96;A. ANGELONI & CIA. LTDA;SUPERMERCADOS ANGELONI;2;ATIVA;19/01/1987;19/01/1987;NULL;03/11/2005;03/11/2005;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - hipermercados;NULL;Sociedade Empresária Limitada;61924500.00;DEMAIS;NULL;NULL;GOVERNADOR IVO SILVEIRA;2445;;CAPOEIRAS;88085001;SC;FLORIANOPOLIS;48;32717500;;;ADM.EDI@ANGELONI.COM.BR
08.785.994/0001-00;JFS MINIMERCADO LTDA;MERCADO VIA SUL;1;ATIVA;26/04/2007;26/04/2007;NULL;10/02/2025;10/02/2025;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;10000.00;MICRO EMPRESA;N;N;SC 405;3247;;CAMPECHE;88065000;SC;FLORIANOPOLIS;48;99777467;;;
13.724.204/0001-17;DAIANA TEREZINHA DONIN;MERCADO E CAFE CANAJURE;1;ATIVA;27/05/2011;27/05/2011;NULL;27/05/2011;27/05/2011;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Empresário (Individual);5000.00;MICRO EMPRESA;S;N;TERTULIANO DE BRITO XAVIER;2489;;JURERE;88054601;SC;FLORIANOPOLIS;48;38792797;48;96484873;DONINDAIANA@GMAIL.COM
15.869.400/0001-05;SUPERMERCADO SONIC LTDA;SUPERMERCADO SONIC;1;ATIVA;02/07/2012;02/07/2012;NULL;02/07/2012;02/07/2012;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - supermercados;NULL;Sociedade Empresária Limitada;100000.00;MICRO EMPRESA;S;N;VIRGILIO VARZEA;1204;;SACO GRANDE;88032001;SC;FLORIANOPOLIS;48;84172988;;;
11.083.570/0001-09;PANIFICADORA E MERCADO PEIXOTO LTDA;PANIFICADORA E MERCADO PEIXOTO;1;ATIVA;21/08/2009;21/08/2009;NULL;21/08/2009;21/08/2009;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;Fabricação de produtos de padaria e confeitaria com predominância de produção própria;Sociedade Empresária Limitada;10000.00;EMPRESA DE PEQUENO PORTE;S;N;BALDICERO FILOMENO;1126;;RIBEIRAO DA ILHA;88064001;SC;FLORIANOPOLIS;48;32345778;;;
14.712.875/0001-20;AIRTON SATURNINO VIEIRA JUNIOR & CIA LTDA;MINIMERCADO NOELI;1;ATIVA;30/11/2011;30/11/2011;NULL;30/11/2011;30/11/2011;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;5000.00;MICRO EMPRESA;S;N;JORNALISTA MANOEL DE MENEZES;2919;;BARRA DA LAGOA;88061700;SC;FLORIANOPOLIS;48;32323453;;;
12.565.728/0001-40;JORGE LUIZ DA SILVA;MERCEARIA SAO JORGE;1;ATIVA;22/09/2010;22/09/2010;NULL;17/12/2021;17/12/2021;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Empresário (Individual);5000.00;MICRO EMPRESA;N;N;SILVA JARDIM;73;;CENTRO;88020200;SC;FLORIANOPOLIS;48;32240174;48;32258715;
14.134.606/0001-24;SUPERMERCADO SERRA & MAR LTDA;SUPERMERCADO SERRA & MAR;1;ATIVA;17/08/2011;17/08/2011;NULL;17/08/2011;17/08/2011;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - supermercados;NULL;Sociedade Empresária Limitada;65000.00;MICRO EMPRESA;N;N;LEONEL PEREIRA;1144;;CACHOEIRA DO BOM JESUS;88056300;SC;FLORIANOPOLIS;48;32848762;;;
03.714.371/0003-95;SUPERMERCADO SANTO ANTONIO LTDA;MERCADO SANTO ANTONIO;2;ATIVA;08/11/2012;08/11/2012;NULL;08/11/2012;08/11/2012;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - supermercados;NULL;Sociedade Empresária Limitada;50000.00;DEMAIS;N;N;ARMANDO CALIL BULOS;2453;SC 403;VARGEM DO BOM JESUS;88058000;SC;FLORIANOPOLIS;48;32630693;;;SOCIETARIO@ASSECONTABIL.COM.BR
21.794.610/0001-84;MERCADO BARRA DO SAMBAQUI LTDA;MERCADO ILHA BELA;1;ATIVA;30/01/2015;30/01/2015;NULL;30/01/2015;30/01/2015;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;NULL;Sociedade Empresária Limitada;95000.00;MICRO EMPRESA;S;N;ANTONIO FABRICIANO QUEIROZ;222;;SAMBAQUI;88051030;SC;FLORIANOPOLIS;48;91820774;;;MERC.ILHABELLA@HOTMAIL.COM
27.386.243/0001-66;MINIMERCADO BASTOS LTDA;MINI MERCADO BASTOS;1;ATIVA;24/03/2017;24/03/2017;NULL;24/03/2017;24/03/2017;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;1000.00;MICRO EMPRESA;S;N;BALDICERO FILOMENO;1923;;RIBEIRAO DA ILHA;88064001;SC;FLORIANOPOLIS;48;84813693;;;aorleans1973@gmail.com
29.072.687/0001-52;CHARLES ARCHANJO GARBELOTTI LTDA;CONVENIENCIA DA GENERAL;1;ATIVA;14/11/2017;14/11/2017;NULL;24/05/2024;24/05/2024;Comércio varejista de bebidas;NULL;Sociedade Empresária Limitada;40000.00;MICRO EMPRESA;N;N;GENERAL BITTENCOURT;205;SALA 01;CENTRO;88020100;SC;FLORIANOPOLIS;48;88347794;;;CHARLESGARBELOTTI@GMAIL.COM
19.238.828/0001-00;ITAMAR JOSE TEREBINTO;MERCADO VITORIA;1;ATIVA;12/11/2013;12/11/2013;NULL;21/06/2022;21/06/2022;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Empresário (Individual);5000.00;MICRO EMPRESA;N;N;CONSELHEIRO MAFRA;681;;CENTRO;88010100;SC;FLORIANOPOLIS;48;84835445;48;84801638;fernandoparaiso@yahoo.com.br
28.687.947/0001-31;STEPHANI MACHADO RODRIGUES DA SILVA;MERCADO SKINA;1;ATIVA;20/09/2017;20/09/2017;NULL;20/09/2017;20/09/2017;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Empresário (Individual);40000.00;MICRO EMPRESA;S;N;DAS PAPOULAS;100;;DANIELA;88053150;SC;FLORIANOPOLIS;48;33077032;48;96254970;MERCADOTEMDITUDO2@HOTMAIL.COM
31.138.256/0001-93;ILHABELA MERCADO LTDA;MERCADO ILHABELA;1;ATIVA;07/08/2018;07/08/2018;NULL;07/08/2018;07/08/2018;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;120000.00;MICRO EMPRESA;S;N;JOAO PAULO;1115;;JOAO PAULO;88030300;SC;FLORIANOPOLIS;48;88422107;48;91820774;MERC.ILHABELLA@HOTMAIL.COM
36.478.538/0001-53;MINI MERCADO PLANTAO LTDA;MINI MERCADO PLANTAO 24 HORAS;1;ATIVA;26/02/2020;26/02/2020;NULL;26/02/2020;26/02/2020;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;1000.00;MICRO EMPRESA;S;N;SANTOS SARAIVA;1088;SALA  COM ESQUINA;CAPOEIRAS;88070101;SC;FLORIANOPOLIS;48;99952855;;;CONTABILIDADEPLANTAO@GMAIL.COM
40.771.747/0001-68;DAIANE DA ROSA;MERCADO ZAMPIERI;1;ATIVA;09/02/2021;09/02/2021;NULL;09/02/2021;09/02/2021;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Empresário (Individual);25000.00;MICRO EMPRESA;S;N;JOSE CORREIA;803;SALA 02 03;TAPERA DA BASE;88049400;SC;FLORIANOPOLIS;48;98022203;;;ARIELSTEVAN@GMAIL.COM
36.935.456/0001-90;LAPA CONVENIENCIA LTDA;LAPA CONVENIENCIA;1;ATIVA;15/04/2020;15/04/2020;NULL;15/04/2020;15/04/2020;Comércio varejista de bebidas;NULL;Sociedade Empresária Limitada;1000.00;EMPRESA DE PEQUENO PORTE;S;N;JOAO GUALBERTO SOARES;4372;;INGLESES DO RIO VERMELHO;88058300;SC;FLORIANOPOLIS;48;98045816;;;LEONARDOLAPA685@GMAIL.COM
39.509.827/0001-60;ALTAS HORAS BEBIDAS E CONVENIENCIA LTDA;ALTAS HORAS BEBIDAS E CONVENIENCIAS;1;ATIVA;21/10/2020;21/10/2020;NULL;21/10/2020;21/10/2020;Comércio varejista de mercadorias em lojas de conveniência;NULL;Sociedade Empresária Limitada;150000.00;EMPRESA DE PEQUENO PORTE;S;N;JOAO GUALBERTO SOARES;1300;LOJA  05;INGLESES DO RIO VERMELHO;88058300;SC;FLORIANOPOLIS;41;84753010;;;
41.182.323/0001-20;LUCIANO & JEAN MINI MERCADO LTDA;MERCADO PAI & FILHO;1;ATIVA;11/03/2021;11/03/2021;NULL;11/03/2021;11/03/2021;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;50000.00;MICRO EMPRESA;S;N;JOAQUIM NABUCO;2650;TERREO;MONTE CRISTO;88090900;SC;FLORIANOPOLIS;48;96064413;;;JEANCF2013@GMAIL.COM
40.894.801/0001-62;BAR E MERCEARIA MORAES LTDA;BAR E MERCEARIA MORAES;1;ATIVA;18/02/2021;18/02/2021;NULL;18/02/2021;18/02/2021;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;Bares e outros estabelecimentos especializados em servir bebidas sem entretenimento;Sociedade Empresária Limitada;30000.00;MICRO EMPRESA;S;N;CARTUCHO;21;;TRINDADE;88040446;SC;FLORIANOPOLIS;48;96882380;48;32264336;RODRIGO@RHSERVICOSCONTABEIS.COM.BR
37.918.011/0001-65;JACSON MINOZZO;SUPERMERCADO SOL E MAR;1;ATIVA;30/07/2020;30/07/2020;NULL;30/07/2020;30/07/2020;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Empresário (Individual);10000.00;EMPRESA DE PEQUENO PORTE;N;N;DOS LORDES;15;SALA  02;INGLESES DO RIO VERMELHO;88058525;SC;FLORIANOPOLIS;48;91787179;;;JACKYYSSON@HOTMAIL.COM
